date,equity,position,daily_return,peak_equity,drawdown
2025-04-04,48945.491747511085,0,0.0,63509.608515342006,-0.2293214697475685
2025-04-05,48945.491747511085,0,0.0,63509.608515342006,-0.2293214697475685
2025-04-06,48945.491747511085,0,0.0,63509.608515342006,-0.2293214697475685
2025-04-07,48945.491747511085,0,0.0,63509.608515342006,-0.2293214697475685
2025-04-08,48945.491747511085,0,0.0,63509.608515342006,-0.2293214697475685
2025-04-09,48945.491747511085,0,0.0,63509.608515342006,-0.2293214697475685
2025-04-10,48945.491747511085,0,0.0,63509.608515342006,-0.2293214697475685
2025-04-11,48945.491747511085,0,0.0,63509.608515342006,-0.2293214697475685
2025-04-12,48945.491747511085,0,0.0,63509.608515342006,-0.2293214697475685
2025-04-13,48945.491747511085,0,0.0,63509.608515342006,-0.2293214697475685
2025-04-14,48945.491747511085,0,0.0,63509.608515342006,-0.2293214697475685
2025-04-15,48945.491747511085,0,0.0,63509.608515342006,-0.2293214697475685
2025-04-16,48945.491747511085,0,0.0,63509.608515342006,-0.2293214697475685
2025-04-17,48945.491747511085,0,0.0,63509.608515342006,-0.2293214697475685
2025-04-18,48945.491747511085,0,0.0,63509.608515342006,-0.2293214697475685
2025-04-19,48945.491747511085,0,0.0,63509.608515342006,-0.2293214697475685
2025-04-20,48945.491747511085,0,0.0,63509.608515342006,-0.2293214697475685
2025-04-21,48945.491747511085,0,0.0,63509.608515342006,-0.2293214697475685
2025-04-22,48945.491747511085,0,0.0,63509.608515342006,-0.2293214697475685
2025-04-23,48945.491747511085,0,0.0,63509.608515342006,-0.2293214697475685
2025-04-24,48945.491747511085,0,0.0,63509.608515342006,-0.2293214697475685
2025-04-25,48872.07350988982,1,-0.0014999999999999458,63509.608515342006,-0.23047748754294706
2025-04-26,48754.433185595204,1,-0.0024071072873715904,63509.608515342006,-0.23232981079047899
2025-04-27,47338.549620213234,1,-0.029041124526913764,63509.608515342006,-0.25462381635091214
2025-04-28,49241.40328412238,1,0.04019670393738983,63509.608515342006,-0.22466215057478833
2025-04-29,48019.519340715364,1,-0.024814157637969014,63509.608515342006,-0.24390150619310946
2025-04-30,47839.276521107415,1,-0.0037535323568955725,63509.608515342006,-0.2467395463546136
2025-05-01,51407.11816311384,1,0.07457975750181411,63509.608515342006,-0.1905615643860341
2025-05-02,51921.377645759756,0,0.010003662936603153,63509.608515342006,-0.18246421510822075
2025-05-03,51921.377645759756,0,0.0,63509.608515342006,-0.18246421510822075
